Title,Location,,
One Nation Under CCTV ,London,,
The Grim Reaper (Thekla) ,Bristol,,
Man Hanging From Window ,Bristol,,
Steam Roller Traffic Warden ,London,,
This is not a Photo Opportunity ,Cheddar Gorge,,
Bomb Hugger ,London,,
Snorting Copper ,London,,
Sweep it Under the Carpet ,London,,
Washing Zebra Stripes ,Timbuktu,,
Child Soldier ,Los Angeles,,
Guantanamo Bay Detainee ,London,,
No Ball Games,London,,
Slave Labour,London,,
Kissing Coppers,Brighton,,
Police Sniper,Bristol,,
Gun-Toting Clown,Bristol,,
Lenin Punk,Weston-super-Mare,,
Lenin on Roller Blades,,,
Cash Machine Girl,London,,
Gangsta Rat,London,,
Follow Your Dreams ,CancelledÂ,,
Because I,€™m WorthlessÂ,,
Security Guard With Pink Balloon Dog ,Ontario,,
Rodeo Cowboy Kid ,New York,,
There is Always Hope ,London,Boston,
The Thinker Monkey,,London,
Keep Your Coins,,,
If Graffiti Changed Anything ,It Would be Illegal ,,
Panda With Guns ,Bristol,,
This,€™ll Look Nice When It,,
Graffiti is a Crime ,New York,,
Keith Haring Dog,London,London,
Flying Balloon Girl,,,
Interest in People ,Toronto,€™s Framed ,San Francisco
Don,€™t Forget Your Scarf ,,
Drunk Angel ,London,,
Soldiers Painting CND Sign ,London,,
Injured Buddha ,London,,
Ghetto Boy ,London,Bristol,
One Original Thought ,Brooklyn,,
Swing Girl ,Los Angeles,,
Bubble Slide Girl ,London,,
Secured ,Liverpool,,
Gorilla Artist (Shave Kong) ,London (Leake Street),,
GCHQ Government Spies Telephone Box ,Cheltenham,,
Girl and Mouse ,New Orleans,,
Napalm Girl,,,
Stop and Search (Girl and a Soldier) ,Bethlehem,,
Sorry,€¦The Lifestyle You OrderedÂ,,
Love Plane,London (&amp; Liverpool),,
Cameraman and Flower ,Park City,,
Hammer Boy ,Manhattan,,
Bronx Zoo,Yankee Stadium, London,
Peaceful Hearts Doctor ,San Francisco,,
Pissing Soldier ,London,,
Tap Phoned ,London,,
Umbrella Girl ,New Orleans,,
Yellow Lines Flower Painter ,London,,
Rat 3D Glasses ,Park City,,
Take This Society ,London,,
"<h2 style=""text-align: left;""><img alt=""Banksy Take This Society Graffiti - Shepherd's Bush",,,
Think Tank (Blur Album Cover Art),,,
Looting Soldiers ,NewÂOrleans,,
Javelin Thrower ,London,,
If At First You Don,€™t Succeed ,,
I,€™m Out Of Bed Rat ,,
Cave Painting Removal ,London,,
"<h2 style=""text-align: left;""><img alt=""Banksy Cave Painting Removal Graffiti - Leake Street",,,
Blank Walls Are Criminal,,San Francisco,
Fake Plato Quote ,New York,Los Angeles/New York/Italy,
Tox ,London,,
Thug For Life Bunny ,London,,
Very Little Helps ,London,,
Sunflower Field Gas Mask ,London,,
No Trespassing ,San Francisco,,
NoFuture ,Southampton,,
I Love You ,Isle of Wight,,
Forgive OurTrespassing ,Salt Lake City,,
Aerial Flower Girl ,Los Angeles,,
Baby Carriage,,,
Abraham Lincoln ,New Orleans,,
Old Woman (You Looked Better On MySpace) ,Los Angeles,,
I Must Not Copy What I See on The Simpsons ,New Orleans,,
Tesco Sandcastle ,Hastings,,
Stormtroopers Filming Oscars ,Hollywood,,
Death of a Telephone Box ,London,,
Robot and Barcode ,New York,,
Space Girl With Bird ,Chicago,,
Smiley Grim Reaper ,Shoreditch,,
Let Them Eat Crack ,New York,,
London Calling ,London,,
"jpg?8254401094842062517"" style=""float: none;""/>",,,
Winnie the Pooh Bear Trap ,Bristol,,
Old Skool ,London,,
Musicians (Gas Mask Marching Band) ,New Orleans,,
"<h2 style=""text-align: left;""><img alt=""Banksy Musicians (Gas Mask Marching Band) Graffiti ",New Orleans,,
Fridge Kite ,New Orleans,,
I Remember When All This Was Trees ,Detroit,,
Ice Cream Bomb ,Brighton,,
Girl With Skipping Rope ,Brooklyn,,
Kentucky Fox ,London,,
KKK ,Birmingham,,
Last Graffiti Before Motorway ,London,,
Love is the Answer,,,
Mona Lisa Showing Her Backside,,,
"jpg?10890803875729019567"" style=""float: none;""/>",,,
No Ball Games Rat ,London,,
Toxic Rat ,London,,
TV Through Window ,London,,
Mobile Phone Lovers ,Bristol,,
Waiting in Vain ,New York,,
Ghetto for Life ,New York,,
Better Out Than In,Los Angeles,,
Twin Towers ,New York,,
This Is My New York Accent ,New York,,
Policeman Searching Girl ,Glastonbury,,
Osama Sunbathing ,San Francisco,,
Mona Lisa With Rocket Launcher ,London,,
Laugh Now ,Los Angeles,,
I Don,€™t Believe in Global Warming ,,
Hitchiker to Anywhere ,London,,
Gorilla With Pink Mask ,Bristol,,
Dove of Peace ,Bethlehem,,
"<h2 style=""text-align: left;""><img alt=""Banksy Dove of Peace Graffiti - Bethlehem",,London,
Cut It Out ,Palestine,,
Angel in Bulletproof Vest (Fallen Angel) ,London,,
Nighthawks Forever ,London,,
Burning Tyre - Bristol,,,
Israeli &amp; Palestinian Pillow Fight -West Bank,,,
Two brand new Banksy pieces in New York City!,,,
